Your Gender,Employment Type,Department,Years in Company,Individual - Performance [Knowledge sharing techniques in the organization increase my work efficiency.],Individual - Performance [Knowledge sharing techniques in the organization help me to solve problems at work.],Individual - Performance [Knowledge sharing techniques in the organization help me to accomplish my work],Individual - Performance [Knowledge sharing techniques in the organization increase my problem-solving abilities.],Individual - Learning & Capacity [I often develop new procedures to improve my everyday practice with the help of knowledge sharing activities.],Individual - Learning & Capacity [I clearly know how my job should be performed with the help of knowledge sharing.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization broaden my knowledge.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization increase the capability to define work.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization increase the ability to generate novel ideas to solve work problems.],Individual - psychological Effects [Sharing knowledge satisfies me.],Individual - psychological Effects [I am satisfied with the job environment because of the knowledge sharing],Individual - psychological Effects [I am getting many rewards because of the knowledge sharing.],"Individual - psychological Effects [All in all, I believe that knowledge sharing is a main effect for my job satisfaction.]",Team - Performance [Knowledge sharing helps the team members to meet specific tasks deadlines in a timely manner.],Team - Performance [Knowledge sharing helps the team members to manage task related challenges and obstacles as they occured.],Team - Performance [Knowledge sharing helps the team members to decide on recommendations for tasks that are more feasible.],Team - Performance [Knowledge sharing helps to increase the team innovativeness of remedies used to solve problems.],Team - Performance [Knowledge sharing helps to identify more appropriate methods in problem solving.],Team - Creativity [Knowledge sharing helps the team to implement new ideas to improve the quality of the product.],Team - Creativity [Knowledge sharing open up ways for the team to look in to more innovative new or alternative methods.],"Team - Creativity [Knowledge sharing helps the team to produce new features, services or methods.]",Team - Creativity [Knowledge sharing increases the innovativeness of your team.],Team - Climate [Knowledge sharing helps the team to find the information easily for a given task or project.],Team - Climate [Knowledge sharing creates a friendly environment around the team members.],Team - Climate [I can rely on my team members for knowledge due to the impacts of knowledge sharing implementations.],Team - Climate [Team members are enjoying sharing information with different backgrounds of people and different diversities.],Organizational - Learning & Innovations [Knowledge sharing accesses more ways to enter in to the market with product innovations.],Organizational - Learning & Innovations [Knowledge sharing is a key factor for novel and innovative new product developments.],Organizational - Learning & Innovations [Knowledge sharing tends to open up more new development opportunities.],"Organizational - Learning & Innovations [All in all, I believe that knowledge sharing helps to improve the organizational innovative capabilities.]",Organizational - Business Process Efficiency  [Effective knowledge sharing is a significant competitive advantage for the company.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to increase the productivity of the organization.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to maintain effective customer relationship with the organization.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to improve the effective communication between departments.],"Organizational - Business Process Efficiency  [All in all, I believe that knowledge sharing helps to increase the overall organizational effectiveness.]","Knowledge Sharing Within Organization. [I frequently do share /exchange the following with my colleagues: Reports, official documents; Manuals, methodologies, models; know-where, know-whom; Experience, know-how; Expertise from education and training.]",Knowledge Sharing Within Organization. [The opportunities to share knowledge within the organization are sufficient.],Knowledge Sharing Within Organization. [There are valid processes/channels to share knowledge between different departments.],"Knowledge Sharing Within Organization. [I always share knowledge with colleagues inside my department, outside my department and with customers.]"
Female,Full Time,Engineering,1.0,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
Male,Full Time,Engineering,3.0,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,3
Female,Full Time,Engineering,1.0,3,3,3,4,3,3,4,3,2,3,2,4,4,3,4,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,Full Time,Engineering,2.0,4,5,4,5,4,4,5,5,4,4,5,3,4,4,5,5,5,4,4,5,5,4,4,5,4,5,4,5,5,4,5,4,4,5,5,4,4,5,3
Female,Full Time,Marketing,1.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Female,Intern,Marketing,1.0,5,5,4,5,5,5,5,4,4,4,3,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,3,4,3,3,4,4,5,5,5,4,4,5,4
Male,Full Time,Engineering,0.583,4,4,4,4,4,4,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
Female,Full Time,Marketing,1.0,4,4,3,4,3,3,5,4,3,3,4,2,3,5,4,3,4,4,4,4,3,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5
Female,Full Time,Administrative,3.0,4,3,3,3,3,2,4,2,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5
Female,Full Time,Administrative,0.666,4,4,3,4,3,3,4,4,3,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3
Male,Full Time,Engineering,2.5,4,4,4,4,4,4,4,4,4,4,4,2,3,5,5,5,5,5,4,4,4,4,3,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3
Male,Full Time,Instructing,1.0,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,4
Female,Full Time,Administrative,1.0,3,3,3,4,3,3,4,3,3,3,3,2,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,5
Female,Full Time,Marketing,3.0,4,4,4,4,3,3,5,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
Female,Full Time,Administrative,0.083333,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3
Female,Part Time,Instructing,0.5,4,4,5,5,5,4,4,4,4,5,5,3,5,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,4,4,5,5,5,4,4,4,5,4,5
